unit,nace_r2,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
MIO_EUR,C_HTC,SK	: 	8 	6 	13 	16 	13 	: c	: c	: c	: c	11 
MIO_EUR,C_HTC,TR	: 	166 	195 	169 	147 	107 	250 	: 	: 	: 	: 
MIO_EUR,C_HTC,UK	: 	1745 	1741 	1826 	1735 	1497 	1554 	1956 	2649 	: 	: 
MIO_EUR,C_HTC_M,AT	: 	: 	2328 	: 	2154 	: 	2017 	: 	1918 	1325 	: 
MIO_EUR,C_HTC_M,BE	: 	: 	: c	: c	1056 	905 	843 	905 	: 	: 	: 
MIO_EUR,C_HTC_M,BG	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
MIO_EUR,C_HTC_M,CH	: 	: 	: 	: d	: 	: 	: 	: d	: 	: 	: 
MIO_EUR,C_HTC_M,CY	: 	0 	0 	1 	1 	1 	1 	1 	: 	: 	: 
MIO_EUR,C_HTC_M,CZ	: 	609 	597 	520 	469 	387 	345 	383 	322 	297 	248 
MIO_EUR,C_HTC_M,DE	: 	33187 	30070 	30454 	28715 	26392 	24907 	27009 	24721 	: 	: 
MIO_EUR,C_HTC_M,DK	: 	956 d	930 d	999 d	1028 d	932 d	896 d	: 	: 	: 	: 
MIO_EUR,C_HTC_M,EE	: 	: c	: c	: c	: c	: c	: c	: c	7 	: 	: 
MIO_EUR,C_HTC_M,EL	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 
MIO_EUR,C_HTC_M,ES	: 	1519 	1543 	1610 	1693 	1625 	1510 	1469 	: 	: 	: 
MIO_EUR,C_HTC_M,FI	: 	892 	997 	948 	856 	749 	734 	803 	: 	: 	: 
MIO_EUR,C_HTC_M,FR	: 	: 	7937 	7745 	7350 	7197 	6958 	8002 	7467 	: 	: 
MIO_EUR,C_HTC_M,HR	: 	28 	37 	20 	17 	14 	18 	: 	26 	26 	41 
MIO_EUR,C_HTC_M,HU	: 	201 	199 	159 	143 	126 	114 	124 	109 	: c	: 
MIO_EUR,C_HTC_M,IE	: 	: 	: c	: 	: c	: c	: c	: 	: 	: 	: 
MIO_EUR,C_HTC_M,IS	: 	: 	: c	: 	10 bbbbeeee	: 	: 	: 	: 	: 	: 
MIO_EUR,C_HTC_M,IT	: 	5029 	4674 	4619 	4391 	4071 	3868 	4050 	3723 	: 	: 
MIO_EUR,C_HTC_M,LT	: 	17 	9 	15 	7 	6 	5 	8 	: 	: 	: 
MIO_EUR,C_HTC_M,LU	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 	: 
MIO_EUR,C_HTC_M,LV	: 	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 
MIO_EUR,C_HTC_M,MT	: 	3 	3 	3 	4 	4 	: c	: c	: 	: 	: 
MIO_EUR,C_HTC_M,NL	: 	2455 	2247 	2176 b	2095 b	1975 	2002 	2151 	: 	: 	: 
MIO_EUR,C_HTC_M,NO	: 	: c	: c	: c	: c	313 	: c	: c	: 	: 	: 
MIO_EUR,C_HTC_M,PL	: 	399 	: c	318 	208 	156 	174 	146 	118 	115 	122 
MIO_EUR,C_HTC_M,PT	: 	105 	104 	117 	117 	121 	128 	131 	100 	: 	: 
MIO_EUR,C_HTC_M,RO	: 	84 	55 	61 	96 b	69 	79 	75 	: 	: 	: 
MIO_EUR,C_HTC_M,SE	: 	: 	: c	: 	: c	: 	: c	: 	: c	: 	: 
MIO_EUR,C_HTC_M,SI	: 	165 	171 	145 	173 b	129 	107 	97 	: 	: 	: 
MIO_EUR,C_HTC_M,SK	: 	124 	125 	82 	63 	71 	41 	: c	: c	: c	11 
MIO_EUR,C_HTC_M,TR	: 	1064 d	933 d	876 d	704 d	669 d	497 	: 	: 	: 	: 
MIO_EUR,C_HTC_M,UK	: 	6080 	5262 	5049 	4121 	3870 	3546 	4316 	5345 	: 	: 
MIO_EUR,C_LTC,AT	: 	: 	: c	: 	: c	: 	: c	: 	: c	: c	: 
MIO_EUR,C_LTC,BE	: 	: 	: c	: c	220 	198 	189 	177 	: 	: 	: 
MIO_EUR,C_LTC,BG	: 	: c	: c	: c	: c	: c	: c	: c	0 	: c	: 
MIO_EUR,C_LTC,CY	: 	0 	0 	1 	1 	1 	1 	1 	: 	: 	: 
MIO_EUR,C_LTC,CZ	: 	37 	41 	42 	52 	38 	33 	34 	28 	26 	18 
MIO_EUR,C_LTC,DE	: 	1343 	1301 	1174 	1202 	1154 	1109 	1071 	1131 	: 	: 
MIO_EUR,C_LTC,DK	: 	236 	292 	239 	207 	193 	214 	: 	: 	: 	: 
MIO_EUR,C_LTC,EE	: 	: c	6 	3 	4 	5 	4 	4 	7 	: 	: 
MIO_EUR,C_LTC,EL	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 
MIO_EUR,C_LTC,ES	: 	426 	391 	388 	399 	400 	435 	494 	: 	: 	: 
MIO_EUR,C_LTC,FI	: 	190 	190 	191 	183 	210 	192 	216 	: 	: 	: 
MIO_EUR,C_LTC,FR	: 	: 	887 	847 	806 	818 	759 	789 	680 	: 	: 
MIO_EUR,C_LTC,HR	: 	6 	6 	9 	10 	8 	11 	: 	: 	: 	: 
MIO_EUR,C_LTC,HU	: 	44 	52 	35 	33 	27 	21 	15 	11 	10 	: c
MIO_EUR,C_LTC,IE	: 	: 	: c	: 	: c	: c	: c	: 	: 	: 	: 
MIO_EUR,C_LTC,IS	19 	: 	: c	: 	19 bbbbbeee	: 	: 	: 	: 	: 	: 
MIO_EUR,C_LTC,IT	: 	966 	896 	860 	800 	798 	729 	691 	551 	: 	: 
MIO_EUR,C_LTC,LT	: 	12 	9 	2 	4 	5 	10 	: 	: 	: 	: 
MIO_EUR,C_LTC,LU	: 	: 	: c	: 	: c	: 	: c	: 	: 	: 	: 
MIO_EUR,C_LTC,MT	: 	1 	1 	1 	1 	1 	1 	: c	: 	: 	: 
MIO_EUR,C_LTC,NL	: 	463 	468 	486 b	525 b	: c	546 	506 	: 	: 	: 
MIO_EUR,C_LTC,NO	: 	157 	149 	161 	149 	135 	138 	139 	: 	: 	: 
